Job Role,Criteria,Weight,Description
Power Platform Developer,Power Apps Proficiency,30,"Demonstrated hands-on experience building canvas and model-driven apps."
Power Platform Developer,Power Automate Experience,25,"Experience designing cloud flows and desktop flows for business process automation."
Power Platform Developer,Dataverse Data Modeling,20,"Ability to design tables, relationships, and business rules within Dataverse."
Power Platform Developer,Communication Skills,15,"Clarity and professionalism in written and verbal communication during the interview."
Power Platform Developer,Problem Solving,10,"Ability to reason through ambiguous technical requirements."
Senior Power Platform Engineer,Solution Architecture,30,"Experience architecting multi-environment, enterprise-scale Power Platform solutions."
Senior Power Platform Engineer,Copilot Studio & Agentic Automation,25,"Hands-on experience building agents, multi-agent orchestration, or Copilot Studio flows."
Senior Power Platform Engineer,Integration Expertise,20,"Experience integrating Power Platform with Azure Functions, Graph API, or external REST APIs."
Senior Power Platform Engineer,Leadership & Mentoring,15,"Evidence of leading technical initiatives or mentoring other engineers."
Senior Power Platform Engineer,Certifications,10,"Relevant Microsoft certifications such as PL-400 or PL-600."
Customer Support Specialist,Customer Communication,40,"Ability to communicate clearly and empathetically with customers."
Customer Support Specialist,CRM Tool Familiarity,30,"Prior experience using CRM or ticketing systems."
Customer Support Specialist,Problem Resolution,30,"Track record of resolving customer issues efficiently."
